"date","precip"
"1933-05-01",2.63
"1933-06-01",3.07
"1933-07-01",4.59
"1933-08-01",5.38
"1933-09-01",2.77
"1933-10-01",1.84
"1933-11-01",1.27
"1933-12-01",2.04
"1934-01-01",1.18
"1934-02-01",1
"1934-03-01",3.05
"1934-04-01",2.62
"1934-05-01",0.53
"1934-06-01",4.78
"1934-07-01",4.11
"1934-08-01",3.86
"1934-09-01",4.96
"1934-10-01",1.66
"1934-11-01",1.93
"1934-12-01",1.61
"1935-01-01",2.69
"1935-02-01",1.31
"1935-03-01",3.14
"1935-04-01",3.59
"1935-05-01",2.22
"1935-06-01",3.39
"1935-07-01",12.59
"1935-08-01",2.6
"1935-09-01",2.46
"1935-10-01",2.8
"1935-11-01",1.78
"1935-12-01",2.89
"1936-01-01",2.08
"1936-02-01",1.14
"1936-03-01",6.92
"1936-04-01",2.74
"1936-05-01",3.05
"1936-06-01",1.54
"1936-07-01",2.11
"1936-08-01",2.71
"1936-09-01",1.66
"1936-10-01",3.41
"1936-11-01",2.78
"1936-12-01",2.18
"1937-01-01",3.66
"1937-02-01",2.22
"1937-03-01",1.71
"1937-04-01",3.75
"1937-05-01",3.5
"1937-06-01",6.07
"1937-07-01",1.61
"1937-08-01",8.14
"1937-09-01",1.86
"1937-10-01",5.17
"1937-11-01",2.14
"1937-12-01",1.58
"1938-01-01",1.72
"1938-02-01",2.16
"1938-03-01",1.12
"1938-04-01",2.52
"1938-05-01",2.43
"1938-06-01",2.25
"1938-07-01",2.31
"1938-08-01",3.59
"1938-09-01",6.71
"1938-10-01",0.59
"1938-11-01",2.22
"1938-12-01",2.42
"1939-01-01",2.82
"1939-02-01",3.21
"1939-03-01",2.82
"1939-04-01",2.51
"1939-05-01",1.84
"1939-06-01",2.41
"1939-07-01",3.17
"1939-08-01",1.46
"1939-09-01",2.86
"1939-10-01",2.49
"1939-11-01",0.55
"1939-12-01",2.76
"1940-01-01",0.72
"1940-02-01",3.25
"1940-03-01",3.47
"1940-04-01",3.59
"1940-05-01",5.35
"1940-06-01",4.37
"1940-07-01",2.87
"1940-08-01",2.73
"1940-09-01",2.79
"1940-10-01",1.87
"1940-11-01",1.73
"1940-12-01",2.44
"1941-01-01",1.46
"1941-02-01",1.05
"1941-03-01",1.98
"1941-04-01",2.56
"1941-05-01",1.59
"1941-06-01",3.24
"1941-07-01",6.42
"1941-08-01",1.57
"1941-09-01",1.03
"1941-10-01",1.73
"1941-11-01",1.78
"1941-12-01",2.25
"1942-01-01",1.3
"1942-02-01",1.9
"1942-03-01",4.9
"1942-04-01",1.53
"1942-05-01",3.31
"1942-06-01",2.39
"1942-07-01",5.54
"1942-08-01",4.68
"1942-09-01",3.54
"1942-10-01",2.9
"1942-11-01",3.02
"1942-12-01",5.56
"1943-01-01",1.35
"1943-02-01",0.98
"1943-03-01",2.61
"1943-04-01",3.98
"1943-05-01",5.85
"1943-06-01",4
"1943-07-01",3.45
"1943-08-01",3.09
"1943-09-01",0.65
"1943-10-01",7.49
"1943-11-01",2.79
"1943-12-01",0.6
"1944-01-01",0.54
"1944-02-01",1.76
"1944-03-01",2.65
"1944-04-01",2.81
"1944-05-01",4.6
"1944-06-01",4.87
"1944-07-01",1.91
"1944-08-01",2.38
"1944-09-01",2.9
"1944-10-01",2.71
"1944-11-01",3.47
"1944-12-01",3.13
"1945-01-01",2.74
"1945-02-01",2.08
"1945-03-01",2.43
"1945-04-01",2.94
"1945-05-01",5.2
"1945-06-01",4.63
"1945-07-01",3.43
"1945-08-01",1.82
"1945-09-01",8.7
"1945-10-01",4.99
"1945-11-01",5.58
"1945-12-01",1.28
"1946-01-01",1.13
"1946-02-01",1.6
"1946-03-01",1.76
"1946-04-01",1.58
"1946-05-01",5.37
"1946-06-01",2.8
"1946-07-01",2.98
"1946-08-01",4.86
"1946-09-01",4.15
"1946-10-01",4.1
"1946-11-01",1.21
"1946-12-01",1.22
"1947-01-01",2.5
"1947-02-01",0.95
"1947-03-01",2.34
"1947-04-01",3.82
"1947-05-01",7.85
"1947-06-01",4.37
"1947-07-01",4.96
"1947-08-01",6.74
"1947-09-01",2.49
"1947-10-01",1.36
"1947-11-01",3.66
"1947-12-01",1.18
"1948-01-01",1.72
"1948-02-01",1.22
"1948-03-01",2.68
"1948-04-01",3.52
"1948-05-01",3.85
"1948-06-01",3.06
"1948-07-01",4.45
"1948-08-01",5.41
"1948-09-01",0.98
"1948-10-01",2.74
"1948-11-01",3.56
"1948-12-01",2.15
"1949-01-01",2.27
"1949-02-01",1.38
"1949-03-01",1.24
"1949-04-01",3.29
"1949-05-01",3.13
"1949-06-01",1.96
"1949-07-01",3.07
"1949-08-01",3.55
"1949-09-01",3.84
"1949-10-01",1.3
"1949-11-01",2.05
"1949-12-01",2.1
"1950-01-01",2.82
"1950-02-01",3.28
"1950-03-01",3.28
"1950-04-01",1.57
"1950-05-01",2.25
"1950-06-01",4.43
"1950-07-01",2.75
"1950-08-01",3.12
"1950-09-01",6.07
"1950-10-01",1.99
"1950-11-01",4.57
"1950-12-01",3.86
"1951-01-01",1.98
"1951-02-01",3.54
